"","nsize","eigen","spg","rcgmin"
"1",100,4,48.0000000000018,3.99999999999068
"2",200,4,15.0000000000006,0.999999999997669
"3",300,14.0000000000016,24.0000000000036,2.00000000000266
"4",400,30.9999999999966,46.9999999999918,0.999999999997558
"5",500,35.999999999996,32.999999999994,1.00000000000111
"6",600,53.5000000000059,64.5000000000095,2.50000000000155
"7",700,56.9999999999979,71.6666666666651,1.66666666666509
"8",800,80.999999999997,106.333333333328,2.33333333333254
"9",900,112.666666666662,161.999999999993,3.33333333333254
"10",1000,119.250000000066,145.000000000082,2.75000000000222
